------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.1 port 5001 connected with 10.0.2.2 port 45206
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-0.5000 sec  97.6 KBytes  1.60 Mbits/sec
[  1] 0.5000-1.0000 sec   339 KBytes  5.56 Mbits/sec
[  1] 1.0000-1.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 1.5000-2.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 2.0000-2.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 2.5000-3.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 3.0000-3.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 3.5000-4.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 4.0000-4.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 4.5000-5.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 5.0000-5.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 5.5000-6.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 6.0000-6.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 6.5000-7.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 7.0000-7.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 7.5000-8.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 8.0000-8.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 8.5000-9.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 9.0000-9.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 9.5000-10.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 10.0000-10.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 10.5000-11.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 11.0000-11.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 11.5000-12.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 12.0000-12.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 12.5000-13.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 13.0000-13.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 13.5000-14.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 14.0000-14.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 14.5000-15.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 15.0000-15.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 15.5000-16.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 16.0000-16.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 16.5000-17.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 17.0000-17.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 17.5000-18.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 18.0000-18.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 18.5000-19.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 19.0000-19.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 19.5000-20.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 20.0000-20.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 20.5000-21.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 21.0000-21.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 21.5000-22.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 22.0000-22.5000 sec   585 KBytes  9.59 Mbits/sec
